Num_Anche force_constructeur K0 K1 x0 Delta_K K00 K01 x00 
17 3.0 1.3080081686628913 -0.022041705057811847 -0.33689008106042123 0.16423973327643826 -0.17652483014981868 0.0029347347477282158 -1.6364435333600222 
18 3.0 1.3340156931918359 -0.023930922603310548 0.0190050830480051 0.013741453478899546 -0.12049029588375856 0.0017139374556648123 -0.9554603170132887 
19 3.0 1.2747144197432483 -0.021317075815673818 -0.3271448986431351 0.11528550085760558 -0.14292942832457972 0.0026074720052891016 -1.8166705910637193 
20 3.0 1.20472181892162 -0.02190302967932938 -0.3436302801487688 0.1326971137580225 -0.16042681214376556 0.003204699709219644 -1.2320874657477627 
21 3.0 1.1958734985548285 -0.020367463116144624 -0.0032140659578926136 0.052048078129462105 -0.109286078183957 0.0012210756236897254 -0.7549847225801768 
22 3.0 1.163704040966297 -0.020389607824875502 0.004246037942710101 -0.018426521431963716 -0.1149824528016841 0.0019437832314710914 -0.19952800958997638 
23 3.0 1.3087583106570118 -0.02279308720851124 -0.10000060000013102 0.018839166411405872 -0.05296363998219671 0.0010095838583505268 -3.2146979906414153 
24 3.0 1.2753881893888286 -0.0228300328935917 -0.05638957491457244 0.04394141764990073 -0.05135533690900097 0.00032855413974891703 -6.837546867205224 
25 3.0 1.279761925092106 -0.022514652417843707 -0.058166203768185036 0.009917948042650837 -0.1938283539743809 0.0028858498589359087 -0.5911566511824318 
26 3.0 1.2367378781294287 -0.02236906568236358 -0.043151970277269885 0.05315474895686356 -0.13527114650098243 0.002786285492977598 -0.9982273706743514 
27 3.0 1.279840540041988 -0.023524714200786494 -0.16015246466434582 0.08040593598613283 -0.06525215296363161 -0.0005386679088469881 -2.2811883336033225 
28 3.0 1.2307138198725638 -0.021303260664422608 -0.2089694436626517 0.12217270629527383 -0.13564630615156054 0.0017002615187640326 -2.127497590347632 
29 3.0 1.2903576771634322 -0.021802830701881035 -0.009684650910570889 0.04214259518369318 -0.02457948205614978 -0.00011880525253739433 -5.109140816278421 
30 3.0 1.2833930596208345 -0.023784492618062335 0.033357075016435415 -0.019732919908320823 -0.17012368063503225 0.003210011720782398 -1.1505532644876475 
